,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho
0,-61.0528,-62.167,1,0,0,0,0,0.0,1.0
1,-61.0528,-62.167,3,35,0,0,0,0.0,1.0478142076502732
2,-61.0528,-62.167,5,231,0,0,0,0.0,1.0788665073403891
3,-61.0528,-62.167,10,2030,0,0,0,0.0,1.0933676754668384
4,-61.0528,-62.167,15,5683,0,0,0,0.0,1.0952772142773317
5,-61.0528,-62.167,20,10355,0,0,0,0.0,1.091934123496249
6,-61.0528,-62.167,25,14707,0,7,0,4.227027614567545e-05,1.0888098501820642
7,-61.0528,-62.167,30,18955,0,12,0,5.526541214181105e-05,1.0872963239290023
8,-61.0528,-62.167,35,22948,0,15,0,5.958836358435925e-05,1.091162251168925
9,-61.0528,-62.167,40,25834,0,16,0,5.6323154096629414e-05,1.0909407726832703
10,-61.0528,-62.167,45,29462,0,17,0,5.2001602872935614e-05,1.0901218366966134
11,-61.0528,-62.167,50,33646,0,17,0,4.5125994430921396e-05,1.0893123063895753
12,-61.0528,-62.167,55,37985,0,20,0,4.651801061075822e-05,1.0883493316524826
13,-61.0528,-62.167,60,42402,0,20,0,4.1324363191563215e-05,1.0876117824024332
14,-61.0528,-77.7087,1,0,0,0,0,0.0,1.0
15,-61.0528,-77.7087,3,35,0,0,0,0.0,1.0478142076502732
16,-61.0528,-77.7087,5,230,0,0,0,0.0,1.0784982935153584
17,-61.0528,-77.7087,10,2029,0,0,0,0.0,1.0933173895046682
18,-61.0528,-77.7087,15,5671,0,0,0,0.0,1.0950569067533817
19,-61.0528,-77.7087,20,10327,0,0,0,0.0,1.0916627464207416
20,-61.0528,-77.7087,25,14725,0,8,0,4.83141385287137e-05,1.0889282112294136
21,-61.0528,-77.7087,30,18954,0,14,0,6.447601722430745e-05,1.0872913164621087
22,-61.0528,-77.7087,35,22972,0,18,0,7.15128544355848e-05,1.0912662940052362
23,-61.0528,-77.7087,40,25808,0,18,0,6.33577495327366e-05,1.0908409333300482
24,-61.0528,-77.7087,45,29493,0,19,0,5.8124950287871465e-05,1.090225218886326
25,-61.0528,-77.7087,50,33662,0,22,0,5.84008261062311e-05,1.0893585731085433
26,-61.0528,-77.7087,55,37974,0,23,0,5.349434355462935e-05,1.088321487049717
27,-61.0528,-77.7087,60,42418,0,24,0,4.9590875278948676e-05,1.0876477394826018
28,-61.0528,-93.2504,1,0,0,0,0,0.0,1.0
29,-61.0528,-93.2504,3,35,0,0,0,0.0,1.0478142076502732
30,-61.0528,-93.2504,5,231,0,0,0,0.0,1.0788665073403891
