,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho
0,-61.0528,-62.167,1,14,0,0,0,0.0,2.076923076923077
1,-61.0528,-62.167,3,715,0,0,0,0.0,14.75
2,-61.0528,-62.167,5,2920,0,0,0,0.0,19.71794871794872
3,-61.0528,-62.167,10,21489,0,1,0,0.001142857142857143,25.558857142857143
4,-61.0528,-62.167,15,61445,0,11,0,0.00510677808727948,29.525998142989785
5,-61.0528,-62.167,20,116858,0,86,0,0.021794221996958945,30.614292954891027
6,-61.0528,-62.167,25,171916,0,234,0,0.03988409749446054,30.30219873870803
7,-61.0528,-62.167,30,225392,0,453,0,0.057604272634791454,29.661241098677518
8,-61.0528,-62.167,35,262696,0,500,0,0.056407942238267145,30.636281588447652
9,-61.0528,-62.167,40,296873,0,523,0,0.053449156872764435,31.33960143076137
10,-61.0528,-62.167,45,342034,0,542,0,0.049802444178994765,32.42828264265368
11,-61.0528,-62.167,50,394686,0,562,0,0.04651547756993875,33.66727363019368
12,-61.0528,-62.167,55,450916,0,592,0,0.04431469421363875,34.7537240811438
13,-61.0528,-62.167,60,508015,0,625,0,0.04260395364689843,35.62951601908657
14,-61.0528,-77.7087,1,16,0,0,0,0.0,2.4545454545454546
15,-61.0528,-77.7087,3,719,0,0,0,0.0,15.979166666666666
16,-61.0528,-77.7087,5,2913,0,0,0,0.0,18.87116564417178
17,-61.0528,-77.7087,10,21480,0,1,0,0.0011312217194570137,25.29864253393665
18,-61.0528,-77.7087,15,61432,0,11,0,0.005076142131979695,29.348869404706967
19,-61.0528,-77.7087,20,116869,0,103,0,0.026175349428208386,30.69987293519695
20,-61.0528,-77.7087,25,171951,0,263,0,0.0450960219478738,30.484053497942387
21,-61.0528,-77.7087,30,225456,0,536,0,0.06871794871794872,29.904615384615386
22,-61.0528,-77.7087,35,262839,0,637,0,0.07304208233000803,31.13863089095287
23,-61.0528,-77.7087,40,297050,0,693,0,0.07212739383846795,31.916944213155702
24,-61.0528,-77.7087,45,342316,0,783,0,0.07386095651353645,33.290915951325346
25,-61.0528,-77.7087,50,395040,0,889,0,0.07580150068212824,34.68349249658936
26,-61.0528,-77.7087,55,451354,0,999,0,0.07731599721383794,35.93181642287749
27,-61.0528,-77.7087,60,508517,0,1097,0,0.07742800677583286,36.89193958215697
28,-61.0528,-93.2504,1,16,0,0,0,0.0,2.4545454545454546
29,-61.0528,-93.2504,3,718,0,0,0,0.0,15.653061224489797
30,-61.0528,-93.2504,5,2916,0,0,0,0.0,19.225
31,-61.0528,-93.2504,10,21487,0,2,0,0.002280501710376283,25.500570125427593
32,-61.0528,-93.2504,15,61461,0,18,0,0.00841908325537886,29.746959775491113
33,-61.0528,-93.2504,20,116886,0,136,0,0.03471158754466565,30.833078101071976
34,-61.0528,-93.2504,25,172107,0,405,0,0.07135306553911205,31.321881606765327
35,-61.0528,-93.2504,30,225774,0,819,0,0.10946271050521252,31.17562149157979
36,-61.0528,-93.2504,35,263309,0,1062,0,0.12871167131256817,32.91237425766574
