,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho
0,-61.0528,-62.167,1,3,0,0,0,0.0,1.12
1,-61.0528,-62.167,5,3243,0,0,0,0.0,3.82
2,-61.0528,-62.167,10,24336,0,0,0,0.0,4.327772460002735
3,-61.0528,-62.167,15,66618,0,0,0,0.0,4.456724782067248
4,-61.0528,-62.167,20,124077,0,0,0,0.0,4.467000111769308
5,-61.0528,-62.167,25,180183,0,15,0,0.0002829441279661976,4.398781453955559
6,-61.0528,-62.167,30,231987,0,77,0,0.001109462126997392,4.342607668256416
7,-61.0528,-62.167,35,264644,0,111,0,0.0014358151808351012,4.4232420965488695
8,-61.0528,-62.167,40,289619,0,159,0,0.0019368041513387092,4.527894852242551
9,-61.0528,-62.167,45,323017,0,226,0,0.002563869855243454,4.664484730226437
10,-61.0528,-62.167,50,361961,0,288,0,0.003036853482364106,4.816744872673591
11,-61.0528,-62.167,55,403686,0,315,0,0.0030869339396136924,4.956038140783787
12,-61.0528,-62.167,60,445922,0,344,0,0.003141896828876224,5.072793365482975
13,-61.0528,-77.7087,1,3,0,0,0,0.0,1.12
14,-61.0528,-77.7087,5,3249,0,0,0,0.0,3.840034965034965
15,-61.0528,-77.7087,10,24330,0,0,0,0.0,4.324224620849843
16,-61.0528,-77.7087,15,66592,0,0,0,0.0,4.450720281894497
17,-61.0528,-77.7087,20,123957,0,5,0,0.00013924473654895845,4.452071961679849
18,-61.0528,-77.7087,25,180124,0,86,0,0.0016204096244794904,4.39389143255516
19,-61.0528,-77.7087,30,232133,0,270,0,0.0038985228929927663,4.35176227673737
20,-61.0528,-77.7087,35,264895,0,417,0,0.005411578441932596,4.437650051260755
21,-61.0528,-77.7087,40,290053,0,603,0,0.007384276267450404,4.551959343619887
22,-61.0528,-77.7087,45,323526,0,778,0,0.008877326304499139,4.691575668366823
23,-61.0528,-77.7087,50,362501,0,903,0,0.009576329603902646,4.844328967601675
24,-61.0528,-77.7087,55,404286,0,1009,0,0.009946472403221513,4.985351379592481
25,-61.0528,-77.7087,60,446584,0,1109,0,0.010190579457115028,5.103651700880304
26,-61.0528,-93.2504,1,3,0,0,0,0.0,1.12
27,-61.0528,-93.2504,5,3249,0,0,0,0.0,3.840034965034965
28,-61.0528,-93.2504,10,24352,0,0,0,0.0,4.3372618884473075
29,-61.0528,-93.2504,15,66644,0,0,0,0.0,4.462745505559597
30,-61.0528,-93.2504,20,124135,0,63,0,0.0017632241813602015,4.474251329415058
31,-61.0528,-93.2504,25,180533,0,363,0,0.006892754063496886,4.428015342548989
32,-61.0528,-93.2504,30,232827,0,925,0,0.013491241631783907,4.395811151787407
33,-61.0528,-93.2504,35,265976,0,1452,0,0.019111298304727808,4.500789723070444
34,-61.0528,-93.2504,40,291417,0,1954,0,0.024334960645611237,4.629284148649995
35,-61.0528,-93.2504,45,325166,0,2374,0,0.027604972150838965,4.781043965627507
36,-61.0528,-93.2504,50,364362,0,2726,0,0.02949131272042755,4.94186121989744
37,-61.0528,-93.2504,55,406341,0,3003,0,0.03021491528152292,5.0884311989374975
38,-61.0528,-93.2504,60,448805,0,3281,0,0.030777168050279066,5.209980770132733
39,-61.0528,-108.7922,1,3,0,0,0,0.0,1.12
40,-61.0528,-108.7922,5,3256,0,0,0,0.0,3.8636763412489006
41,-61.0528,-108.7922,10,24363,0,18,0,0.0024704913532802636,4.343810046664837
42,-61.0528,-108.7922,15,66752,0,186,0,0.00971888389591389,4.487929773226043
43,-61.0528,-108.7922,20,124639,0,700,0,0.01987168568670868,4.538267189008119
44,-61.0528,-108.7922,25,181818,0,1766,0,0.03437201969676327,4.538760972381712
45,-61.0528,-108.7922,30,234850,0,2947,0,0.044289149383829274,4.529455966336038
