,Ex,Ey,time,superpos,ratio,super_point_different,ratio2,percentage,rho
0,-61.0528,-62.167,1,0,0,0,0,0.0,1.0
1,-61.0528,-62.167,3,40,0,0,0,0.0,1.0550206327372764
2,-61.0528,-62.167,5,306,0,0,0,0.0,1.107217939733707
3,-61.0528,-62.167,10,2934,0,0,0,0.0,1.1412818413829633
4,-61.0528,-62.167,15,8290,0,0,0,0.0,1.1455867373818973
5,-61.0528,-62.167,20,15220,0,5,0,4.6443798359605045e-05,1.1413749222066378
6,-61.0528,-62.167,25,21703,0,43,0,0.00027133446073853454,1.1369481814281026
7,-61.0528,-62.167,30,29019,0,82,0,0.00039626543985463826,1.1402344731602652
8,-61.0528,-62.167,35,39271,0,104,0,0.0004420603412365788,1.1669245351990547
9,-61.0528,-62.167,40,53108,0,105,0,0.0004091047230166213,1.2069212726663499
10,-61.0528,-62.167,45,71543,0,107,0,0.0003758526938451487,1.2513049465024624
11,-61.0528,-62.167,50,93265,0,107,0,0.00033758841977069227,1.294254055793585
12,-61.0528,-62.167,55,116269,0,110,0,0.00031293829141382674,1.3307729291308565
13,-61.0528,-62.167,60,139797,0,113,0,0.00029242036073803796,1.3617653908858007
14,-61.0528,-77.7087,1,0,0,0,0,0.0,1.0
15,-61.0528,-77.7087,3,44,0,0,0,0.0,1.0608575380359613
16,-61.0528,-77.7087,5,292,0,0,0,0.0,1.1018131101813111
17,-61.0528,-77.7087,10,2950,0,0,0,0.0,1.1421618235265771
18,-61.0528,-77.7087,15,8296,0,0,0,0.0,1.145707461008852
19,-61.0528,-77.7087,20,15231,0,4,0,3.715883544209724e-05,1.1414915556546459
20,-61.0528,-77.7087,25,21731,0,46,0,0.00029031606583863477,1.1371490962334645
21,-61.0528,-77.7087,30,29005,0,89,0,0.0004300638813990123,1.1401573357300938
22,-61.0528,-77.7087,35,39205,0,117,0,0.0004971784063094914,1.1665972599945609
23,-61.0528,-77.7087,40,53091,0,126,0,0.0004908931528197136,1.2068413363202493
24,-61.0528,-77.7087,45,71657,0,137,0,0.00048142473609490746,1.251806221272648
25,-61.0528,-77.7087,50,93317,0,147,0,0.00046386580078383854,1.2944664281071119
26,-61.0528,-77.7087,55,116367,0,157,0,0.0004467728487318196,1.3311440515183162
27,-61.0528,-77.7087,60,139928,0,166,0,0.00042971894827581746,1.362227186712883
28,-61.0528,-93.2504,1,0,0,0,0,0.0,1.0
29,-61.0528,-93.2504,3,42,0,0,0,0.0,1.0579310344827586
30,-61.0528,-93.2504,5,307,0,0,0,0.0,1.1076060287416754
31,-61.0528,-93.2504,10,2976,0,0,0,0.0,1.1435946924004825
32,-61.0528,-93.2504,15,8338,0,0,0,0.0,1.1465532393574014
33,-61.0528,-93.2504,20,15231,0,4,0,3.715883544209724e-05,1.1414915556546459
34,-61.0528,-93.2504,25,21686,0,54,0,0.00034070905339668,1.1368262320733409
35,-61.0528,-93.2504,30,28987,0,101,0,0.0004880075761968265,1.1400581743684892
36,-61.0528,-93.2504,35,39243,0,158,0,0.0006715117514556505,1.166785668749203
37,-61.0528,-93.2504,40,53175,0,202,0,0.0007872450709494877,1.207236419048213
38,-61.0528,-93.2504,45,71622,0,249,0,0.0008748906386701663,1.2516522784049584
39,-61.0528,-93.2504,50,93377,0,307,0,0.0009689371989824581,1.294711559704837
40,-61.0528,-93.2504,55,116514,0,337,0,0.000959397828401592,1.3317011233779914
41,-61.0528,-93.2504,60,140034,0,383,0,0.0009917321132180024,1.36260108287825
42,-61.0528,-108.7922,1,0,0,0,0,0.0,1.0
43,-61.0528,-108.7922,3,43,0,0,0,0.0,1.0593922651933703
44,-61.0528,-108.7922,5,309,0,0,0,0.0,1.108383023500526
45,-61.0528,-108.7922,10,2940,0,2,0,9.633447329126728e-05,1.141611675738163
46,-61.0528,-108.7922,15,8305,0,2,0,3.513271382647953e-05,1.1458885941644563
47,-61.0528,-108.7922,20,15238,0,10,0,9.290312990644655e-05,1.1415657893514433
48,-61.0528,-108.7922,25,21724,0,58,0,0.0003660345208418794,1.1370988608753274
49,-61.0528,-108.7922,30,29089,0,130,0,0.0006284382825265152,1.14062031692626
50,-61.0528,-108.7922,35,39419,0,262,0,0.001114353037250015,1.167659093035719
51,-61.0528,-108.7922,40,53430,0,421,0,0.0016423756319830223,1.2084373634604582
52,-61.0528,-108.7922,45,72145,0,582,0,0.002048689824136523,1.2539565762239337
53,-61.0528,-108.7922,50,93948,0,753,0,0.0023808695707162528,1.2970490497073712
54,-61.0528,-108.7922,55,117086,0,864,0,0.0024637143916279333,1.3338732213635975
55,-61.0528,-108.7922,60,140673,0,952,0,0.002469174227215902,1.3648593971272507
56,-61.0528,-124.3339,1,11,0,8,0,0.5,1.6875
57,-61.0528,-124.3339,3,54,0,9,0,0.012622720897615708,1.0757363253856942
58,-61.0528,-124.3339,5,321,0,16,0,0.005635787249031349,1.1130679816836915
59,-61.0528,-124.3339,10,3048,0,85,0,0.004115624848690263,1.147581465162446
60,-61.0528,-124.3339,15,8428,0,105,0,0.0018484613759594394,1.1483698331103442
